"city-state",city,state
"Anna, TX",Anna,TX
"Annandale, MN",Annandale,MN
"Annandale, NJ",Annandale,NJ
"Annandale, VA",Annandale,VA
"Annapolis Neck, MD",Annapolis Neck,MD
"Annapolis, MD",Annapolis,MD
"Anniston, AL",Anniston,AL
"Annville, PA",Annville,PA
"Anoka, MN",Anoka,MN
"Anson, ME",Anson,ME
"Ansonia, CT",Ansonia,CT
"Antelope, CA",Antelope,CA
"Anthem, AZ",Anthem,AZ
"Anthony, FL",Anthony,FL
"Anthony, NM",Anthony,NM
"Antigo, WI",Antigo,WI
"Antioch, CA",Antioch,CA
"Antioch, IL",Antioch,IL
"Apache Junction, AZ",Apache Junction,AZ
"Apalachicola, FL",Apalachicola,FL
"Apalachin, NY",Apalachin,NY
"Apex, NC",Apex,NC
"Apison, TN",Apison,TN
"Apollo Beach, FL",Apollo Beach,FL
"Apollo, PA",Apollo,PA
"Apopka, FL",Apopka,FL
"Appalachia, VA",Appalachia,VA
"Apple Mountain Lake, VA",Apple Mountain Lake,VA
"Apple Valley, CA",Apple Valley,CA
"Apple Valley, MN",Apple Valley,MN
"Apple Valley, OH",Apple Valley,OH
"Appleton, MN",Appleton,MN
"Appleton, WI",Appleton,WI
"Applewold, PA",Applewold,PA
"Applewood, CO",Applewood,CO
"Aptos, CA",Aptos,CA
"Aquebogue, NY",Aquebogue,NY
"Aquia Harbour, VA",Aquia Harbour,VA
"Aquilla, OH",Aquilla,OH
"Arab, AL",Arab,AL
"Arabi, LA",Arabi,LA
"Aragon, GA",Aragon,GA
"Aransas Pass, TX",Aransas Pass,TX
"Arbuckle, CA",Arbuckle,CA
"Arbutus Beach, MI",Arbutus Beach,MI
"Arbutus, MD",Arbutus,MD
"Arcade, GA",Arcade,GA
"Arcade, NY",Arcade,NY
"Arcadia Lakes, SC",Arcadia Lakes,SC
"Arcadia, CA",Arcadia,CA
"Arcadia, FL",Arcadia,FL
"Arcadia, IN",Arcadia,IN
"Arcadia, LA",Arcadia,LA
"Arcadia, SC",Arcadia,SC
"Arcadia, WI",Arcadia,WI
"Arcata, CA",Arcata,CA
"Archbald, PA",Archbald,PA
"Archbold, OH",Archbold,OH
"Archdale, NC",Archdale,NC
"Archer Lodge, NC",Archer Lodge,NC
"Archer, IL",Archer,IL
"Archers Corner, NJ",Archers Corner,NJ
"Arcola, IL",Arcola,IL
"Arcola, TX",Arcola,TX
